kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	12	d12	pooled_sirna	pik3c3	l-005250-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	13	d13	pooled_sirna	pdk4	l-019425-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	14	d14	pooled_sirna	rock2	l-004610-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	15	d15	pooled_sirna	chuk	l-003473-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	16	d16	pooled_sirna	pik3c2b	l-006772-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	17	d17	pooled_sirna	tpk1	l-006789-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	18	d18	pooled_sirna	sgk1	l-003027-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	19	d19	pooled_sirna	tssk4	l-005310-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	20	d20	pooled_sirna	clk3	l-004802-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	21	d21	pooled_sirna	pim3	l-032287-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	22	d22	pooled_sirna	pxk	l-005367-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	23	d23	control	mock	none
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	d	24	d24	control	mock	none
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	1	e01	control	gfp duplex iii	p-002048-03
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	2	e02	control	on-targetplus non-targeting pool	d-001810-10
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	3	e03	pooled_sirna	hunk	l-004214-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	4	e04	pooled_sirna	nek2	l-004090-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	5	e05	pooled_sirna	map4k1	l-003586-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	6	e06	pooled_sirna	mapkapk5	l-005015-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	7	e07	pooled_sirna	cdk17	l-004835-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	8	e08	pooled_sirna	nrk	l-024786-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	9	e09	pooled_sirna	insr	l-003014-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	10	e10	pooled_sirna	pfkfb2	l-006762-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	11	e11	pooled_sirna	hipk4	l-004808-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	12	e12	pooled_sirna	mark4	l-005345-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	13	e13	pooled_sirna	sik2	l-004778-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	14	e14	pooled_sirna	ephb1	l-003121-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	15	e15	pooled_sirna	met	l-003156-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	16	e16	pooled_sirna	magi3	l-009453-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	17	e17	pooled_sirna	fyn	l-003140-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	18	e18	pooled_sirna	tssk6	l-005034-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	19	e19	pooled_sirna	ulk3	l-004949-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	20	e20	pooled_sirna	ikbkg	l-003767-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	21	e21	pooled_sirna	mast1	l-004672-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	22	e22	pooled_sirna	melk	l-004029-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	23	e23	control	mock	none
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	e	24	e24	control	mock	none
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	1	f01	control	mock	none
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	2	f02	control	mock	none
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	3	f03	pooled_sirna	nek1	l-004864-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	4	f04	pooled_sirna	cdkl2	l-004797-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	5	f05	pooled_sirna	xylb	l-006793-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	6	f06	pooled_sirna	fes	l-003130-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	7	f07	pooled_sirna	mst4	l-003753-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	8	f08	pooled_sirna	prkab1	l-007675-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	9	f09	pooled_sirna	none	l-005033-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	10	f10	pooled_sirna	alpk2	l-005330-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	11	f11	pooled_sirna	ip6k2	l-006738-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	12	f12	pooled_sirna	cdk2	l-003236-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	13	f13	pooled_sirna	none	l-004499-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	14	f14	pooled_sirna	map2k2	l-003573-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	15	f15	pooled_sirna	pskh2	l-005366-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	16	f16	pooled_sirna	mapk10	l-004324-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	17	f17	pooled_sirna	nrbp1	l-005356-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	18	f18	pooled_sirna	none	l-016674-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	19	f19	pooled_sirna	ulk1	l-005049-00
kb03-1a	bacteria-dp-k1	bacteria	kinome	1	dharmacon	f	20	f20	pooled_sirna	khk	l-006745-00
